schemaname,tablename,policyname,permissive,roles,cmd,using_condition,with_check_condition
public,fornitori_lenti,Fornitori - read all,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,fornitori_montature,Fornitori - read all,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,fornitori_sport,Fornitori - read all,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,info_pagamenti,Users can access payment info from their company,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM buste
  WHERE ((buste.id = info_pagamenti.busta_id) AND (buste.creato_da = auth.uid()))))",null
public,lavorazioni,Admin può eliminare lavorazioni,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,lavorazioni,Responsabile può aggiornare lavorazioni,PERMISSIVE,{public},UPDATE,"((responsabile_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'manager'::text]))))))",null
public,lavorazioni,Tutti possono leggere lavorazioni,PERMISSIVE,{public},SELECT,true,null
public,lavorazioni,Utenti autenticati possono inserire lavorazioni,PERMISSIVE,{public},INSERT,null,(auth.uid() IS NOT NULL)
public,materiali,Accesso completo per utenti autenticati,PERMISSIVE,{public},ALL,((auth.jwt() ->> 'role'::text) = 'authenticated'::text),((auth.jwt() ->> 'role'::text) = 'authenticated'::text)
public,modi_avviso_cliente,Tutti possono leggere modi_avviso_cliente,PERMISSIVE,{public},SELECT,true,null
public,note,Accesso completo per utenti autenticati,PERMISSIVE,{public},ALL,((auth.jwt() ->> 'role'::text) = 'authenticated'::text),((auth.jwt() ->> 'role'::text) = 'authenticated'::text)
public,ordini_materiali,ordini_materiali_delete,PERMISSIVE,{public},DELETE,true,null
public,ordini_materiali,ordini_materiali_insert,PERMISSIVE,{public},INSERT,null,true
public,ordini_materiali,ordini_materiali_select,PERMISSIVE,{public},SELECT,true,null
public,ordini_materiali,ordini_materiali_update,PERMISSIVE,{public},UPDATE,true,null
public,profiles,Gli utenti possono aggiornare il proprio profilo,PERMISSIVE,{public},UPDATE,(auth.uid() = id),(auth.uid() = id)
public,profiles,Gli utenti possono vedere il proprio profilo,PERMISSIVE,{public},SELECT,(auth.uid() = id),null
public,rate_pagamenti,Users can access payment rates from their company,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM buste
  WHERE ((buste.id = rate_pagamenti.busta_id) AND (buste.creato_da = auth.uid()))))",null
public,status_history,Accesso completo per utenti autenticati,PERMISSIVE,{public},ALL,((auth.jwt() ->> 'role'::text) = 'authenticated'::text),((auth.jwt() ->> 'role'::text) = 'authenticated'::text)
public,tipi_lavorazione,Tutti possono leggere tipi_lavorazione,PERMISSIVE,{public},SELECT,true,null
public,tipi_lenti,Tutti possono leggere tipi_lenti,PERMISSIVE,{public},SELECT,true,null
public,tipi_montaggio,Tutti possono leggere tipi_montaggio,PERMISSIVE,{public},SELECT,true,null
public,tipi_ordine,Tutti possono leggere tipi_ordine,PERMISSIVE,{public},SELECT,true,null
public,voice_notes,All authenticated users can view voice notes,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,voice_notes,Allow voice notes insertion from mobile,PERMISSIVE,{public},INSERT,null,true
public,voice_notes,Only amministratore can delete voice notes,PERMISSIVE,{public},DELETE,"(auth.uid() IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.role = 'amministratore'::text)))",null
public,voice_notes,Operatore and amministratore can update voice notes,PERMISSIVE,{public},UPDATE,"(auth.uid() IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.role = ANY (ARRAY['amministratore'::text, 'operatore'::text]))))",null
